Date,Price
2017-09-14,"9,230",
2017-09-15,"5,350",
2017-09-16,"8,840",
2017-09-17,N/A
2017-09-18,"8,485",
2017-09-19,"6,065",
2017-09-20,"6,500",
2017-09-21,"11,885",
2017-09-22,"11,760",
2017-09-23,"14,640",
2017-09-24,N/A
2017-09-25,"8,680",
2017-09-26,"4,900",
2017-09-27,"10,155",
2017-09-28,"18,655",
2017-09-29,"28,115",
2017-09-30,"24,020",
2017-10-01,"410",
2017-10-02,"15,545",
2017-10-03,"950",
2017-10-04,N/A
2017-10-05,N/A
2017-10-06,N/A
2017-10-07,N/A
2017-10-08,N/A
2017-10-09,"20,110",
2017-10-10,"10,400",
2017-10-11,"8,270",
2017-10-12,"5,120",
2017-10-13,"3,270",
2017-10-14,"2,760",
2017-10-15,N/A
2017-10-16,N/A
2017-10-17,"3,330",
2017-10-18,"100",
2017-10-19,"1,710",
2017-10-20,N/A
2017-10-21,"670",
2017-10-22,N/A
2017-10-23,N/A
2017-10-24,"720",
2017-10-25,N/A
2017-10-26,"500",
2017-10-27,N/A
2017-10-28,"200",
2017-10-29,N/A
2017-10-30,N/A
2017-10-31,N/A
2017-11-01,N/A
2017-11-02,"60",
2017-11-03,N/A
2017-11-04,N/A
2017-11-05,N/A
2017-11-06,N/A
2017-11-07,N/A
2017-11-08,N/A
2017-11-09,N/A
2017-11-10,N/A
2017-11-11,N/A
2017-11-12,N/A
2017-11-13,N/A
2017-11-14,N/A
2017-11-15,N/A
2017-11-16,N/A
2017-11-17,N/A
2017-11-18,N/A
2017-11-19,N/A
2017-11-20,N/A
2017-11-21,N/A
2017-11-22,N/A
2017-11-23,N/A
2017-11-24,N/A
2017-11-25,N/A
2017-11-26,N/A
2017-11-27,N/A
2017-11-28,N/A
2017-11-29,N/A
2017-11-30,N/A
2017-12-01,N/A
2017-12-02,N/A
2017-12-03,N/A
2017-12-04,N/A
2017-12-05,N/A
2017-12-06,N/A
2017-12-07,N/A
2017-12-08,N/A
2017-12-09,N/A
2017-12-10,N/A
2017-12-11,N/A
2017-12-12,N/A
2017-12-13,N/A
2017-12-14,N/A
2017-12-15,N/A
2017-12-16,N/A
2017-12-17,N/A
2017-12-18,N/A
2017-12-19,N/A
2017-12-20,N/A
2017-12-21,N/A
2017-12-22,N/A
2017-12-23,N/A
2017-12-24,N/A
2017-12-25,N/A
2017-12-26,N/A
2017-12-27,N/A
2017-12-28,N/A
2017-12-29,N/A
2017-12-30,N/A
2017-12-31,N/A
